"country","year","dls"
,2021,271
,2022,574
,2023,144
@@8Qeiz,2026,11
@@vwGu4,2026,8
AF,2026,9
AL,2026,2
AR,2025,2
AT,2023,1
AT,2025,4
AT,2026,11
AU,2023,10
AU,2024,11
AU,2025,27
AU,2026,23
BD,2026,1
BE,2023,2
BE,2024,3
BE,2025,3
BE,2026,2
BG,2026,1
BR,2023,3
BR,2024,1
BR,2025,2
CA,2023,3
CA,2024,3
CA,2025,4
CA,2026,9
CH,2023,1
CH,2025,16
CH,2026,28
CM,2024,4
CN,2023,7
CN,2024,81
CN,2025,178
CN,2026,63
CZ,2026,1
DE,2023,32
DE,2024,21
DE,2025,20
DE,2026,21
DK,2023,15
DK,2024,1
DK,2025,5
DK,2026,3
DZ,2024,1
DZ,2025,5
DZ,2026,6
EC,2024,2
EE,2025,9
EE,2026,11
EG,2023,2
EG,2024,1
EG,2025,4
EG,2026,2
ES,2024,5
ES,2025,2
ES,2026,5
ET,2024,1
ET,2025,2
FI,2025,1
FR,2023,8
FR,2024,30
FR,2025,23
FR,2026,5
GB,2023,275
GB,2024,432
GB,2025,681
GB,2026,426
GR,2026,1
HU,2025,1
ID,2025,8
IE,2023,11
IE,2024,4
IE,2025,4
IE,2026,3
IL,2023,11
IL,2026,4
IN,2023,8
IN,2024,5
IN,2025,25
IN,2026,3
IR,2025,1
IT,2023,1
IT,2024,10
IT,2025,3
IT,2026,6
JP,2023,8
JP,2024,2
JP,2025,9
JP,2026,11
KE,2026,1
KR,2025,1
LK,2025,1
LV,2025,2
MA,2023,1
MA,2025,2
MX,2023,3
MX,2024,2
MX,2025,1
MY,2026,1
NL,2023,5
NL,2024,11
NL,2025,34
NL,2026,1
NO,2025,3
NP,2025,3
NZ,2023,5
NZ,2024,3
NZ,2026,3
PE,2026,3
PH,2025,1
PK,2024,5
PK,2025,1
PK,2026,5
PL,2026,2
PS,2026,3
PY,2025,2
RO,2025,1
RU,2025,1
RU,2026,3
SA,2025,4
SE,2023,4
SE,2024,5
SE,2025,27
SE,2026,2
SG,2025,1
SG,2026,1
TH,2025,1
TR,2026,92
TW,2023,1
TW,2024,1
TW,2025,1
UA,2025,5
UA,2026,1
UM,2024,1
US,2023,52
US,2024,40
US,2025,71
US,2026,146
UY,2025,1
VN,2026,1
ZA,2023,1
ZW,2024,2
ZW,2025,4
